dev,contributions,collaborators,knum,aknum,tenure,degree,popcon,psizes,bugs,deps,betweenness,closeness,degree_cent,packs_avg_degree,clus_sq,clus_dot,clus_red
D2629,84,6,3,3.24574592267,0,17,72.0,14.0338904989,1.82352941176,3.35294117647,0.00601753661922,0.0899173758276,0.0128398791541,2.41176470588,0.430693069307,0.0477318542526,0.610294117647
D1069,10,3,1,1,0,1,31.0,11.9069722987,5.0,5.0,0.0,0.0920223737792,0.000755287009063,4.0,0.0,0.0219529329118,0.0
D1064,67,9,2,2,6,42,28.7142857143,13.7022032591,1.80952380952,4.38095238095,0.0161969704144,0.090683406936,0.0317220543807,1.92857142857,0.506849315068,0.0769445590559,0.385598141696
D1066,156,3,3,3.29487179487,6,10,16.6,13.57562692,1.4,5.5,1.49809566856e-05,0.087218219222,0.00755287009063,3.1,1.0,0.153984529592,1.0
D1060,35,9,2,2,6,9,458.0,14.8846686704,4.66666666667,6.33333333333,0.00555991042501,0.0859204073827,0.00679758308157,2.11111111111,0.0294117647059,0.102893224013,0.0277777777778
D1062,14,0,1,1,11,6,184.666666667,15.1222429535,7.0,8.33333333333,5.49821245004e-07,0.582886857863,0.00453172205438,1.0,0.0,0.0,0.0
D2864,2,1,1,1,4,1,9961.0,12.6160110668,2.0,3.0,0.0,0.0693800910844,0.000755287009063,2.0,0.0,0.0666666666667,0.0
D2867,45,9,2,2,2,8,106.5,12.423078399,5.125,10.5,0.00220050244864,0.096618320808,0.00604229607251,2.875,0.176470588235,0.0367603325021,0.321428571429
D2866,4,2,1,1,2,1,278.0,12.8509797606,8.0,9.0,0.0,0.0776851169078,0.000755287009063,3.0,0.0,0.0124672925966,0.0
D2860,2,1,1,1,0,1,6.0,11.086073275,0,1.0,0.0,0.0734150393364,0.000755287009063,2.0,0.0,0.037037037037,0.0
D2863,78,0,1,1,11,6,132.333333333,14.7064985245,7.16666666667,6.83333333333,5.49821245004e-07,0.582886857863,0.00453172205438,1.0,0.0,0.0,0.0
D2862,4,1,1,1,2,1,37.0,13.2978533184,3.0,18.0,0.0,0.0780163655226,0.000755287009063,2.0,0.0,0.0192307692308,0.0
D788,40,1,2,2,11,8,29.625,14.3963166654,2.5,9.375,0.00343717085839,0.0667210052585,0.00604229607251,1.25,1.0,0.0833333333333,0.0357142857143
D2868,8,1,1,1,2,1,145.0,11.55725809,4.0,4.0,0.0,0.0784935421695,0.000755287009063,2.0,0.0,0.00568181818182,0.0
D2641,216,11,3,3.24574592267,13,19,18573.5263158,13.8643120003,44.5789473684,10.4210526316,0.00856534377639,0.0982837226789,0.0143504531722,2.15789473684,0.0985221674877,0.0600217431941,0.105263157895
D2450,214,12,4,4.0,8,49,122.387755102,13.4093525262,5.63265306122,7.79591836735,0.0257292913911,0.098275242268,0.0370090634441,1.9387755102,0.197513812155,0.0515934558681,0.0824829931973
D2451,1,2,1,1,0,1,156.0,11.2289033533,4.0,2.0,0.0,0.0823975634562,0.000755287009063,3.0,0.0,0.0331439393939,0.0
D2452,129,7,2,2,6,37,1285.21621622,14.7455128339,2.45945945946,5.02702702703,0.0220925842782,0.0888771689633,0.0279456193353,1.32432432432,0.258620689655,0.0321026307728,0.0225225225225
D1663,10,3,1,1,0,1,72.0,12.7739796802,1.0,7.0,0.0,0.0947160848453,0.000755287009063,4.0,0.0,0.0114155251142,0.0
D1661,229,13,2,2,14,36,10518.3888889,15.4381090719,10.5277777778,7.5,0.0178186262048,0.0914626022577,0.0271903323263,1.55555555556,0.0689655172414,0.0265459912299,0.0142857142857
D1664,3,2,1,1,2,1,155.0,13.1315550047,9.0,2.0,0.0,0.0904780982476,0.000755287009063,3.0,0.0,0.0147967974055,0.0
D148,4,1,1,1,0,1,0.0,9.58328228838,1.0,2.0,0.0,0.0761948702345,0.000755287009063,2.0,0.0,0.05,0.0
D1717,2,1,1,1,8,1,19.0,15.3841398091,1.0,3.0,0.0,0.0610858486888,0.000755287009063,2.0,0.0,0.0294117647059,0.0
D411,40,3,2,2,2,6,10.3333333333,13.1703497265,2.66666666667,5.66666666667,0.000394342248649,0.0741137069685,0.00453172205438,2.0,0.4,0.0838585434174,0.4
D410,12,3,2,2,13,5,9441.4,15.3328341464,6.4,8.4,0.00124370362483,0.0805531354396,0.00377643504532,2.0,0.666666666667,0.0880230880231,0.2
D58,2,1,1,1,6,1,28.0,9.4839488747,0,1.0,0.0,0.0601622122,0.000755287009063,2.0,0.0,0.0333333333333,0.0
D50,183,2,1,1,11,16,4092.3125,13.471259104,5.4375,5.0625,0.009162771048,0.0640792674945,0.012084592145,1.125,0.0,0.0529891304348,0.0
D52,30,3,1,1,4,1,134.0,14.2929768968,13.0,7.0,0.0,0.0771013840319,0.000755287009063,4.0,0.0,0.117063492063,0.0
D53,191,82,3,3.24574592267,8,73,240.821917808,14.493204463,4.78082191781,5.87671232877,0.093018628079,0.119100796849,0.0551359516616,2.84931506849,0.0150570521115,0.0161706073174,0.046803652968
D55,11,4,2,2,6,6,3615.83333333,14.2926238535,15.5,10.1666666667,0.000778081855492,0.0801689955842,0.00453172205438,2.16666666667,0.333333333333,0.0989724310777,0.4
D56,5,1,1,1,0,1,1.0,12.937375068,4.0,8.0,0.0,0.0700058957107,0.000755287009063,2.0,0.0,0.0454545454545,0.0
D2223,117,4,2,2,6,47,2917.14893617,13.9237066411,7.17021276596,9.6170212766,0.00153154640828,0.0830101066097,0.035498489426,2.04255319149,0.95479704797,0.135628581834,0.957446808511
D2733,2,2,2,2,14,2,31.0,15.2642779492,1.0,5.0,1.84705245816e-05,0.0854498402179,0.00151057401813,2.0,0.0,0.00456058924427,0.0
D2737,141,1,1,1,11,15,46.4666666667,12.9689242,3.2,3.73333333333,0.0080179699064,0.0827537769251,0.011329305136,1.06666666667,0.0,0.0238095238095,0.0
D630,43,5,2,2,6,4,37181.25,17.4319490756,519.25,7.25,0.000729578367272,0.0800478560821,0.00302114803625,2.75,0.166666666667,0.0962322160598,0.166666666667
D157,2,1,1,1,8,1,39.0,12.1812367727,0,4.0,0.0,0.0610858486888,0.000755287009063,2.0,0.0,0.0294117647059,0.0
D636,17,2,2,2,6,2,33.0,11.5454168562,7.5,6.0,0.000337599299362,0.0706091516236,0.00151057401813,2.0,0.0,0.0406015037594,0.0
D634,32,12,2,2,0,7,127.428571429,14.679245605,9.0,11.5714285714,0.00316161845434,0.10381323188,0.00528700906344,2.85714285714,0.0153846153846,0.0282147363799,0.047619047619
D638,2,1,2,2,6,2,8.0,12.5278988652,0.5,1.5,1.83273748335e-08,0.0713545245123,0.00151057401813,2.0,1.0,0.0714285714286,1.0
D3384,1,2,1,1,2,1,20867.0,14.6203914025,5.0,5.0,0.0,0.0762586401704,0.000755287009063,3.0,0.0,0.107462686567,0.0
D3389,6,0,1,1,11,1,0,nan,3.0,0,0.0,0.582886857863,0.000755287009063,1.0,0.0,0.0,0.0
D3436,8,7,3,3.06666666667,4,5,30883.0,13.8481173318,13.0,9.6,0.00129483600337,0.089150219773,0.00377643504532,3.6,0.3125,0.172309027778,0.6
D3430,2,1,1,1,0,1,601.0,12.7169962645,2.0,8.0,0.0,0.0868424864387,0.000755287009063,2.0,0.0,0.00952380952381,0.0
D3433,65,9,3,3.2380952381,8,25,22.2,11.7950676204,1.4,6.52,0.0076135643564,0.0939407320259,0.0188821752266,2.28,0.249376558603,0.0883820945428,0.313333333333
D2528,4,1,1,1,0,1,10.0,10.6875945547,0,3.0,0.0,0.0823350203506,0.000755287009063,2.0,0.0,0.00578034682081,0.0
D2529,11,1,1,1,11,3,32.3333333333,13.1809485877,1.0,4.33333333333,1.83273748335e-07,0.466309486291,0.00226586102719,1.33333333333,0.0,0.333333333333,0.0
D2520,2,2,1,1,11,1,1009.0,14.8505385368,17.0,3.0,0.0,0.0720063802917,0.000755287009063,3.0,0.0,0.506666666667,0.0
D2522,9,0,1,1,2,1,165.0,16.4331815354,25.0,3.0,0.0,0.582886857863,0.000755287009063,1.0,0.0,0.0,0.0
D2523,228,26,4,5.17777777778,6,82,433.585365854,13.5291259849,3.35365853659,4.42682926829,0.0370997277479,0.0992645041193,0.0619335347432,2.62195121951,0.151979965566,0.0380898384419,0.256248118037
D2524,4,2,1,1,6,1,1610.0,15.0661761857,4.0,1.0,0.0,0.0917185472914,0.000755287009063,3.0,0.0,0.0266934329782,0.0
D2525,26,5,2,2,2,4,154.25,14.5548971523,5.75,8.75,0.00108799733481,0.0941951718368,0.00302114803625,2.25,0.0,0.022904372054,0.0
D2527,53,2,1,1,11,7,6487.85714286,14.0199424181,10.0,4.42857142857,0.00400984633982,0.050464605785,0.00528700906344,1.28571428571,0.0,0.102678571429,0.0
D831,116,11,3,3.24574592267,6,18,6531.22222222,15.2792635087,4.33333333333,9.55555555556,0.0125338973409,0.0996117649348,0.0135951661631,1.61111111111,0.0,0.0244594169389,0.0
D830,76,5,2,2,11,12,23.8333333333,13.7712438351,7.58333333333,7.58333333333,0.00685332512706,0.0831176326545,0.00906344410876,1.66666666667,0.2,0.0591716650882,0.030303030303
D297,1,3,1,1,0,1,1293.0,13.6413035887,28.0,21.0,0.0,0.0822161529074,0.000755287009063,4.0,0.0,0.109722222222,0.0
D296,57,35,3,3.24574592267,2,24,1894.33333333,15.5788266917,7.75,10.4583333333,0.0354775466743,0.110990905086,0.0181268882175,2.70833333333,0.0116279069767,0.0264758510397,0.0326086956522
D837,16,13,3,3.24574592267,8,14,219.214285714,13.6695771074,2.64285714286,4.35714285714,0.0063812993911,0.106881963192,0.0105740181269,2.0,0.0142857142857,0.0310701282765,0.010989010989
D292,342,72,3,3.24574592267,4,104,1567.91346154,14.0705482259,4.84615384615,5.49038461538,0.120482111454,0.126095867176,0.0785498489426,2.32692307692,0.0230693178073,0.0138454757258,0.0375280059746
D2090,23,1,1,1,6,3,1134.66666667,13.6763936908,27.3333333333,9.66666666667,0.00114586412934,0.077283183733,0.00226586102719,1.33333333333,0.0,0.0126582278481,0.0
D2091,6,1,2,2,2,3,5.66666666667,11.5288578675,1.66666666667,3.0,5.49821245004e-08,0.0699328229064,0.00226586102719,2.0,1.0,0.111111111111,1.0
D2092,184,33,4,5.17777777778,11,119,90.6638655462,12.8050306879,1.47899159664,4.00840336134,0.0719947451873,0.10086217718,0.0898791540785,2.44537815126,0.133174477098,0.0307562057053,0.193562170631
D2094,20,3,1,1,2,1,8.0,11.4730093101,6.0,2.0,0.0,0.0896837276533,0.000755287009063,4.0,0.0,0.0131188416246,0.0
D2095,8,0,1,1,13,2,3063.5,14.1744813644,2.5,4.5,3.6654749667e-08,0.582886857863,0.00151057401813,1.0,0.0,0.0,0.0
D3652,6,1,2,2,0,3,8.66666666667,10.6601101894,1.0,4.0,5.49821245004e-08,0.0734979460049,0.00226586102719,2.0,1.0,0.0612244897959,1.0
D3657,22,2,2,2,0,2,371.5,17.1173524502,7.0,6.0,3.6654749667e-08,0.0776070400835,0.00151057401813,2.5,1.0,0.268867924528,1.0
D2414,10,0,1,1,8,1,422.0,12.8280111086,30.0,5.0,0.0,0.582886857863,0.000755287009063,1.0,0.0,0.0,0.0
D2415,27,9,3,3.24574592267,2,19,617.947368421,13.8390214199,1.73684210526,7.73684210526,0.00138875749687,0.0931436801002,0.0143504531722,2.47368421053,0.592417061611,0.0384754923048,0.701754385965
D2416,2,2,1,1,2,1,92.0,12.6764355852,2.0,6.0,0.0,0.0763634542584,0.000755287009063,3.0,0.0,0.0892156862745,0.0
D2417,1,1,1,1,13,1,149.0,12.9430692334,1.0,1.0,0.0,0.0657769582319,0.000755287009063,2.0,0.0,0.0243902439024,0.0
D2410,72,0,1,1,8,9,30.1111111111,13.3867077315,2.22222222222,3.11111111111,1.31957098801e-06,0.582886857863,0.00679758308157,1.0,0.0,0.0,0.0
D2413,4,2,1,1,4,1,61.0,12.7627441032,6.0,3.0,0.0,0.0867251138555,0.000755287009063,3.0,0.0,0.0107704581719,0.0
D2418,1,2,1,1,2,1,14.0,11.1489956969,2.0,2.0,0.0,0.0795780555643,0.000755287009063,3.0,0.0,0.00661092052601,0.0
D2419,18,1,1,1,8,4,119.75,12.607424305,2.5,3.5,0.00171874121188,0.0684224991148,0.00302114803625,1.25,0.0,0.142857142857,0.0
D749,4,2,2,2,14,3,97292.0,13.1979147835,16.0,4.66666666667,0.000572962610294,0.0808375684208,0.00226586102719,2.33333333333,1.0,0.0815295815296,0.333333333333
D742,3,1,1,1,6,1,63.0,13.7992002654,2.0,2.0,0.0,0.073879344875,0.000755287009063,2.0,0.0,0.0204081632653,0.0
D745,42,9,3,3.24574592267,13,11,647.909090909,13.4230292938,4.54545454545,5.63636363636,0.00643442177883,0.098707478736,0.0083081570997,2.27272727273,0.0821917808219,0.0500624782896,0.0909090909091
D744,90,4,2,2,2,9,424.222222222,15.1443368691,6.77777777778,8.33333333333,0.00141181374336,0.0816225397925,0.00679758308157,2.11111111111,0.477272727273,0.0894666199813,0.583333333333
D2890,6,1,2,2,2,2,158.0,11.6152699369,1.5,4.0,1.83273748335e-08,0.0668845875513,0.00151057401813,2.0,1.0,0.111111111111,1.0
D2891,15,4,2,2,4,7,626.857142857,14.1126535204,83.5714285714,11.4285714286,0.00371576871197,0.0846921287353,0.00528700906344,1.57142857143,0.0,0.0670933417615,0.0
D2676,1,1,1,1,0,1,13.0,13.2744885788,0,4.0,0.0,0.0746945334884,0.000755287009063,2.0,0.0,0.05,0.0
D2677,6,0,1,1,8,1,6709.0,14.4712351677,22.0,7.0,0.0,0.582886857863,0.000755287009063,1.0,0.0,0.0,0.0
D2670,2,1,1,1,8,1,2116.0,13.3872613524,5.0,7.0,0.0,0.0823350203506,0.000755287009063,2.0,0.0,0.00578034682081,0.0
D2671,16,1,2,2,0,2,60.5,14.3445269224,3.5,6.0,1.83273748335e-08,0.0844315810348,0.00151057401813,2.0,1.0,0.0093896713615,1.0
D2896,1,1,1,1,2,1,3.0,12.5805010599,0,4.0,0.0,0.0696740025855,0.000755287009063,2.0,0.0,0.0555555555556,0.0
D2673,3,1,2,2,6,2,6801.0,16.0232033738,2.5,1.5,1.83273748335e-08,0.0890787517804,0.00151057401813,2.0,1.0,0.00790513833992,1.0
D2384,45,3,2,2,0,5,258.2,12.3736392142,4.6,5.0,0.000260489234466,0.0839307249509,0.00377643504532,2.4,0.538461538462,0.0731556455241,0.6
D2386,27,7,2,2,8,7,12251.4285714,14.2726812136,7.71428571429,6.28571428571,0.00365568989267,0.0978215635896,0.00528700906344,2.0,0.0,0.0396127403646,0.0
D2387,14,0,1,1,13,3,646.333333333,11.5527069183,2.0,3.33333333333,1.09964249001e-07,0.582886857863,0.00226586102719,1.0,0.0,0.0,0.0
D2380,2,1,1,1,0,1,27.0,15.0259903459,5.0,2.0,0.0,0.0762382221804,0.000755287009063,2.0,0.0,0.0149253731343,0.0
D2382,22,0,1,1,11,3,44.3333333333,13.7917170577,3.0,11.3333333333,1.09964249001e-07,0.582886857863,0.00226586102719,1.0,0.0,0.0,0.0
D2383,2,1,1,1,4,1,15855.0,11.3627186645,44.0,2.0,0.0,0.0754278755142,0.000755287009063,2.0,0.0,0.0625,0.0
D2253,3,1,1,1,0,1,0.0,12.8546852192,1.0,2.0,0.0,0.0751132455288,0.000755287009063,2.0,0.0,0.0344827586207,0.0
D1879,136,8,2,2,6,41,2309.19512195,15.1184416424,4.0487804878,7.43902439024,0.0190686179365,0.0933000958644,0.0309667673716,1.48780487805,0.443181818182,0.0372776466694,0.0951219512195
D1878,5,1,1,1,2,1,5977.0,10.796796208,4.0,4.0,0.0,0.069536817636,0.000755287009063,2.0,0.0,0.0555555555556,0.0
D2257,11,2,2,2,0,3,9.33333333333,14.7745965043,0.666666666667,13.0,4.22632933978e-05,0.0818866144413,0.00226586102719,2.33333333333,1.0,0.0709549071618,1.0
