id,dev,period,rstart,rstop,status,has_written_peps,has_written_acc_peps,peps_this_year,total_peps,accepted_peps_year,total_accepted_peps,biconnected,top,tenure,colaborators,knum,aknum,clus_sq,clus_dot,clus_red,degree,contributions,dcentrality,betweenness,closeness
0,Guido van Rossum,1,0,1,0,0,0,0,0,0,0,1,1,2,2,2,2,0.5333333333333333,0.020468456055748388,0.0008628991871797835,510,96480,1.0,1.0,1.0
1,Sjoerd Mullender,1,0,1,0,0,0,0,0,0,0,1,1,1,1,2,2,1.0,0.013539651837524178,0.23076923076923078,14,3300,0.027450980392156862,0.02687892795927908,0.02687892795927908
2,Jack Jansen,1,0,1,0,0,0,0,0,0,0,1,1,1,1,2,2,1.0,0.0273972602739726,0.8666666666666667,15,1310,0.029411764705882353,0.004188586565359017,0.004188586565359017
0,Guido van Rossum,2,1,2,0,0,0,0,0,0,0,1,1,3,2,3,3.25,0.6790231138246838,0.08966049382716049,0.01922693266832918,401,44688,0.9570405727923628,1.0,1.0
1,Sjoerd Mullender,2,1,2,0,0,0,0,0,0,0,1,1,2,2,3,3.25,0.9669777458722182,0.10319767441860465,0.6024423337856174,67,7777,0.15990453460620527,0.07841050172428435,0.07841050172428435
2,Jack Jansen,2,1,2,0,0,0,0,0,0,0,1,1,2,2,3,3.25,0.9402985074626866,0.06785816824576515,0.7292307692307692,26,3312,0.06205250596658712,0.017547591204279688,0.017547591204279688
3,Barry Warsaw,3,2,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,2,1849,0.0029498525073746312,4.1210942329407305e-06,4.1210942329407305e-06
0,Guido van Rossum,3,2,3,0,0,0,0,0,0,0,1,1,4,2,2,2,0.5111111111111111,0.026253726694255332,0.0014030317686479046,678,99534,1.0,1.0,1.0
1,Sjoerd Mullender,3,2,3,0,0,0,0,0,0,0,1,1,3,1,2,2,1.0,0.032305433186490456,0.77,25,966,0.03687315634218289,0.0090808311422849,0.0090808311422849
2,Jack Jansen,3,2,3,0,0,0,0,0,0,0,1,1,3,1,2,2,1.0,0.020202020202020204,0.22413793103448276,29,3902,0.04277286135693215,0.04284083509853536,0.04284083509853536
3,Barry Warsaw,4,3,4,0,0,0,0,0,0,0,0,0,2,0,1,1,0.0,0.0,0.0,2,2298,0.002577319587628866,2.538490886665194e-06,2.538490886665194e-06
0,Guido van Rossum,4,3,4,0,0,0,0,0,0,0,1,1,5,2,3,3.269230769230769,0.860215774308115,0.10197958552428085,0.042540738277352844,776,137359,1.0,1.0,1.0
1,Sjoerd Mullender,4,3,4,0,0,0,0,0,0,0,1,1,4,2,3,3.269230769230769,0.9594202898550724,0.031761006289308176,0.3167220376522702,43,3339,0.055412371134020616,0.043188946637948235,0.043188946637948235
2,Jack Jansen,4,3,4,0,0,0,0,0,0,0,1,1,4,2,3,3.269230769230769,0.9883274578926753,0.10355191256830601,0.2840711364201297,298,82940,0.38402061855670105,0.3231004648009679,0.3231004648009679
3,Barry Warsaw,5,4,5,0,0,0,0,0,0,0,1,1,3,3,3,3.2666666666666666,0.9215017064846417,0.03273007581866596,0.19135135135135137,75,11610,0.08108108108108107,0.06773599789603148,0.06773599789603148
0,Guido van Rossum,5,4,5,0,0,0,0,0,0,0,1,1,6,5,3,3.2666666666666666,0.32863574084948133,0.0216496381434501,0.003907803907803908,925,248003,1.0,1.0,1.0
1,Sjoerd Mullender,5,4,5,0,0,0,0,0,0,0,1,0,5,1,2,2,1.0,0.002162162162162162,1.0,2,421,0.002162162162162162,6.274628702210444e-07,6.274628702210444e-07
4,Fred Drake,5,4,5,0,0,0,0,0,0,0,1,1,1,2,3,3.2857142857142856,1.0,0.03702448530034737,0.33834586466165417,77,12496,0.08324324324324324,0.05276123947237667,0.05276123947237667
5,Roger E. Masse,5,4,5,0,0,0,0,0,0,0,1,1,1,3,3,3.2666666666666666,0.8740157480314961,0.018632559403170153,0.16216216216216217,37,13075,0.039999999999999994,0.035640806410223505,0.035640806410223505
2,Jack Jansen,5,4,5,0,0,0,0,0,0,0,1,0,5,2,2,2,1.0,0.0060597882447604706,0.0012683039317421885,295,369845,0.3189189189189189,0.41579135064218503,0.41579135064218503
3,Barry Warsaw,6,5,6,0,0,0,0,0,0,0,1,1,4,3,3,3.221052631578947,0.9459459459459459,0.04907718868117713,0.49677835051546393,97,11723,0.08531222515391382,0.04830615258918322,0.04830615258918322
0,Guido van Rossum,6,5,6,0,0,0,0,0,0,0,1,1,7,4,3,3.221052631578947,0.5799308218663057,0.053226751915626466,0.023672377271544837,1137,301248,1.0,1.0,1.0
6,Jeremy Hylton,6,5,6,0,0,0,0,0,0,0,1,0,1,1,2,2,1.0,0.0017574692442882249,0.3333333333333333,3,785,0.002638522427440633,0.001701940821165689,0.001701940821165689
4,Fred Drake,6,5,6,0,0,0,0,0,0,0,1,1,2,2,3,3.221052631578947,0.9785217004888165,0.10614737632468105,0.7766690425279164,184,8907,0.16182937554969218,0.04649051693528024,0.04649051693528024
5,Roger E. Masse,6,5,6,1,0,0,0,0,0,0,1,0,2,2,2,2,1.0,0.014724136455078543,0.29914529914529914,27,12322,0.0237467018469657,0.020410491642943167,0.020410491642943167
2,Jack Jansen,6,5,6,0,0,0,0,0,0,0,0,0,6,0,1,1,0.0,0.0,0.0,316,293057,0.27792436235708007,0.07044124296832954,0.07044124296832954
3,Barry Warsaw,7,6,7,0,0,0,0,0,0,0,1,1,5,3,3,3.340659340659341,0.8288288288288288,0.031533667179885164,0.16767676767676767,45,13291,0.05798969072164949,0.052001842175709974,0.052001842175709974
0,Guido van Rossum,7,6,7,0,0,0,0,0,0,0,1,1,8,5,3,3.4722222222222223,0.7028147501636482,0.028364021192090527,0.021303624875290986,776,214147,1.0,1.0,1.0
7,Ken Manheimer,7,6,7,0,0,0,0,0,0,0,0,0,1,1,1,1,0.0,0.001288659793814433,0.0,1,4,0.001288659793814433,0.0,0.0
4,Fred Drake,7,6,7,0,0,0,0,0,0,0,1,1,3,4,3,3.4722222222222223,0.8756786857858834,0.03411123445472432,0.047274375731933056,515,137174,0.663659793814433,0.69764221933624,0.69764221933624
8,Andrew M. Kuchling,7,6,7,0,0,0,0,0,0,0,1,1,1,2,3,3.4722222222222223,0.8709677419354839,0.015089005468697826,0.8461538461538461,13,1349,0.01675257731958763,0.0005526797229788638,0.0005526797229788638
9,Greg Ward,7,6,7,0,0,0,0,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,2,433,0.002577319587628866,1.7044812385250879e-06,1.7044812385250879e-06
2,Jack Jansen,7,6,7,0,0,0,0,0,0,0,0,0,7,0,1,1,0.0,0.0,0.0,341,165924,0.43943298969072164,0.09880877739729935,0.09880877739729935
6,Jeremy Hylton,7,6,7,0,0,0,0,0,0,0,1,1,2,3,3,3.340659340659341,0.6949152542372882,0.025863489552435573,0.7777777777777778,10,420,0.01288659793814433,0.0003907147922698996,0.0003907147922698996
3,Barry Warsaw,8,7,8,0,0,0,0,0,0,0,1,1,6,4,3,3.272727272727273,0.9168975069252078,0.028975276768946887,0.1784633998790079,58,5513,0.09182058047493404,0.12524594985361123,0.12524594985361123
