id,year,dev,has_written_peps,has_written_acc_peps,is_delegate,peps_this_year,total_peps,accepted_peps_year,total_accepted_peps,degree,contributions_sc,contributions_edits,contributions_added,contributions_deleted,collaborators,knum,aknum,top,top2,tenure,betweenness,closeness,degree_cent,file_mean_degree,clus_sq,clus_dot,clus_red
0,1992,Guido van Rossum,0,0,0,0,0,0,0,510,96480,1298,73862,22618,2,2,2,1,1,1,1.0,0.9740027890002976,1.0,1.0411764705882354,0.5333333333333333,0.020468456055748388,0.0008628991871797835
1,1992,Sjoerd Mullender,0,0,0,0,0,0,0,14,3300,25,2418,882,1,2,2,1,1,1,0.02687892795927908,0.34159941361288143,0.027450980392156862,1.5,1.0,0.013539651837524178,0.23076923076923078
2,1992,Jack Jansen,0,0,0,0,0,0,0,15,1310,20,1181,129,1,2,2,1,1,1,0.004188586565359017,0.3393869821775648,0.029411764705882353,1.9333333333333333,1.0,0.0273972602739726,0.8666666666666667
0,1993,Guido van Rossum,0,0,0,0,0,0,0,401,44688,979,33436,11252,2,3,3.25,1,1,2,1.0,0.9215686274509803,0.9570405727923628,1.1845386533665836,0.6790231138246838,0.08966049382716049,0.01922693266832918
1,1993,Sjoerd Mullender,0,0,0,0,0,0,0,67,7777,112,6429,1348,2,3,3.25,1,1,2,0.07841050172428435,0.37533274179236914,0.15990453460620527,1.8805970149253732,0.9669777458722182,0.10319767441860465,0.6024423337856174
2,1993,Jack Jansen,0,0,0,0,0,0,0,26,3312,47,2976,336,2,3,3.25,1,1,2,0.017547591204279688,0.34987593052109184,0.06205250596658712,2.1153846153846154,0.9402985074626866,0.06785816824576515,0.7292307692307692
3,1994,Barry Warsaw,0,0,0,0,0,0,0,2,1849,8,1836,13,0,1,1,0,1,1,4.1210942329407305e-06,0.7553648068669527,0.0029498525073746312,1.0,0.0,0.0,0.0
0,1994,Guido van Rossum,0,0,0,0,0,0,0,678,99534,1418,81526,18008,2,2,2,1,1,3,1.0,0.7163649934689308,1.0,1.0530973451327434,0.5111111111111111,0.026253726694255332,0.0014030317686479046
1,1994,Sjoerd Mullender,0,0,0,0,0,0,0,25,966,33,703,263,1,2,2,1,1,3,0.0090808311422849,0.25421631397933125,0.03687315634218289,1.88,1.0,0.032305433186490456,0.77
2,1994,Jack Jansen,0,0,0,0,0,0,0,29,3902,29,3709,193,1,2,2,1,1,3,0.04284083509853536,0.25820011517783203,0.04277286135693215,1.4827586206896552,1.0,0.020202020202020204,0.22413793103448276
